id,state,region,year,age,temperature,gender
AR,Arkansas,South,1998,0.33,77,F
NJ,New Jersey,Northeast,1998,0.33,86,F
CA,California,West,1998,0.5,75,M
CA,California,West,1998,0.5,93,F
OH,Ohio,Midwest,1998,0.5,84,F
NV,Nevada,West,1998,0.58,108,M
VA,Virginia,South,1998,0.67,82,M
FL,Florida,South,1998,0.75,110,M
PA,Pennsylvania,Northeast,1998,0.75,76,F
IL,Illinois,Midwest,1998,0.83,85,M
LA,Louisiana,South,1998,0.83,80,F
OK,Oklahoma,South,1999,0.13,101,M
CA,California,West,1999,0.42,96,F
MI,Michigan,Midwest,1999,0.42,88,M
NM,New Mexico,West,1999,0.63,95,M
TX,Texas,South,1999,0.67,104,M
KY,Kentucky,South,1999,0.92,79,M
IA,Iowa,Midwest,2000,0.17,81,M
CA,California,West,2000,0.33,115,M
TX,Texas,South,2000,0.33,96,F
IL,Illinois,Midwest,2000,0.42,69,F
MA,Massachusetts,Northeast,2000,0.42,75,F
MO,Missouri,Midwest,2000,0.42,78,F
MO,Missouri,Midwest,2000,0.42,78,F
MS,Mississippi,South,2000,0.42,80,
CA,California,West,2000,0.5,100,F
IL,Illinois,Midwest,2000,0.67,79,M
VA,Virginia,South,2000,0.75,84,M
AL,Alabama,South,2000,0.83,90,M
AL,Alabama,South,2000,0.83,90,F
IL,Illinois,Midwest,2000,0.83,87,M
CA,California,West,2001,0.01,86,F
MN,Minnesota,Midwest,2001,0.33,87,M
CA,California,West,2001,0.42,86,M
TX,Texas,South,2001,0.42,73,M
NC,North Carolina,South,2001,0.5,95,M
NV,Nevada,West,2001,0.5,108,M
IA,Iowa,Midwest,2001,0.58,90,F
MO,Missouri,Midwest,2001,0.58,60,F
NV,Nevada,West,2001,0.75,95,M
KY,Kentucky,South,2001,0.83,81,F
TN,Tennessee,South,2001,0.83,66,F
MN,Minnesota,Midwest,2001,0.92,60,M
CA,California,West,2002,0.15,63,M
NC,North Carolina,South,2002,0.25,88,M
OH,Ohio,Midwest,2002,0.25,63,M
CA,California,West,2002,0.33,89,M
MD,Maryland,South,2002,0.33,79,M
CA,California,West,2002,0.42,86,F
FL,Florida,South,2002,0.42,91,M
TX,Texas,South,2002,0.5,73,M
TX,Texas,South,2002,0.5,90,F
FL,Florida,South,2002,0.58,90,M
GA,Georgia,South,2002,0.67,82,F
OH,Ohio,Midwest,2002,0.75,83,M
TX,Texas,South,2002,0.75,90,M
MI,Michigan,Midwest,2002,0.83,80,F
VA,Virginia,South,2002,0.92,90,M
ID,Idaho,West,2003,0.17,100,M
TX,Texas,South,2003,0.17,93,F
FL,Florida,South,2003,0.33,90,F
TX,Texas,South,2003,0.33,97,M
OK,Oklahoma,South,2003,0.42,99,M
AZ,Arizona,West,2003,0.5,96,M
WI,Wisconsin,Midwest,2003,0.5,79,F
NV,Nevada,West,2003,0.58,98,M
MS,Mississippi,South,2003,0.67,90,M
TX,Texas,South,2003,0.67,98,M
CA,California,West,2003,0.83,90,M
FL,Florida,South,2003,0.83,84,F
HI,Hawaii,West,2003,0.83,88,F
FL,Florida,South,2004,0.08,89,M
FL,Florida,South,2004,0.25,93,F
AZ,Arizona,West,2004,0.33,97,M
AZ,Arizona,West,2004,0.33,102,F
FL,Florida,South,2004,0.33,79,F
CA,California,West,2004,0.42,93,F
NY,New York,Northeast,2004,0.5,70,F
OK,Oklahoma,South,2004,0.5,90,M
AZ,Arizona,West,2004,0.58,110,M
NJ,New Jersey,Northeast,2004,0.58,60,M
OR,Oregon,West,2004,0.58,70,M
TN,Tennessee,South,2004,0.67,88,F
VA,Virginia,South,2004,0.67,79,M
FL,Florida,South,2004,0.75,80,F
KY,Kentucky,South,2004,0.92,72,M
NC,North Carolina,South,2004,0.92,88,M
OK,Oklahoma,South,2005,0.17,92,F
MI,Michigan,Midwest,2005,0.25,87,M
SC,South Carolina,South,2005,0.25,78,M
FL,Florida,South,2005,0.33,89,F
NJ,New Jersey,Northeast,2005,0.33,70,F
MD,Maryland,South,2005,0.42,86,M
TN,Tennessee,South,2005,0.42,91,M
TX,Texas,South,2005,0.5,97,F
FL,Florida,South,2005,0.67,86,F
KY,Kentucky,South,2005,0.75,94,M
OH,Ohio,Midwest,2005,0.75,73,M
AL,Alabama,South,2005,0.83,92,F
VA,Virginia,South,2005,0.83,69,F
GA,Georgia,South,2006,0.08,94,M
ND,North Dakota,Midwest,2006,0.42,78,F
TX,Texas,South,2006,0.42,97,F
TX,Texas,South,2006,0.67,86,F
TX,Texas,South,2006,0.83,103,M
AZ,Arizona,West,2007,0.25,108,F
MO,Missouri,Midwest,2007,0.33,84,F
GA,Georgia,South,2007,0.42,91,F
NY,New York,Northeast,2007,0.42,94,M
GA,Georgia,South,2007,0.58,81,M
KS,Kansas,Midwest,2007,0.58,91,F
MO,Missouri,Midwest,2007,0.58,99,F
AL,Alabama,South,2007,0.67,88,F
MS,Mississippi,South,2007,0.75,91,F
VA,Virginia,South,2007,0.75,66,M
CA,California,West,2007,0.83,78,F
SC,South Carolina,South,2007,0.83,77,M
CA,California,West,2007,0.92,81,F
GA,Georgia,South,2008,0.12,101,M
TN,Tennessee,South,2008,0.25,90,F
AZ,Arizona,West,2008,0.33,76,M
WI,Wisconsin,Midwest,2008,0.33,81,M
UT,Utah,West,2008,0.42,92,M
TX,Texas,South,2008,0.58,83,F
TX,Texas,South,2008,0.58,88,F
FL,Florida,South,2008,0.67,88,F
LA,Louisiana,South,2008,0.67,84,F
TX,Texas,South,2008,0.67,82,M
GA,Georgia,South,2008,0.75,84,F
NC,North Carolina,South,2008,0.75,73,F
OH,Ohio,Midwest,2008,0.92,90,F
FL,Florida,South,2009,0.25,87,F
FL,Florida,South,2009,0.25,92,M
KS,Kansas,Midwest,2009,0.25,97,F
CA,California,West,2009,0.33,67,M
WI,Wisconsin,Midwest,2009,0.33,57,M
FL,Florida,South,2009,0.42,90,M
FL,Florida,South,2009,0.42,91,M
FL,Florida,South,2009,0.42,91,F
TX,Texas,South,2009,0.58,91,F
TX,Texas,South,2009,0.58,93,M
AZ,Arizona,West,2010,0.17,96,F
TX,Texas,South,2010,0.25,103,F
KY,Kentucky,South,2010,0.42,94,F
SD,South Dakota,Midwest,2010,0.42,90,M
FL,Florida,South,2010,0.5,92,F
CA,California,West,2010,0.58,72,F
TX,Texas,South,2010,0.58,80,F
NY,New York,Northeast,2010,0.75,91,F
OH,Ohio,Midwest,2010,0.75,87,F
TX,Texas,South,2010,0.92,94,F
MS,Mississippi,South,2011,0.25,91,M
GA,Georgia,South,2011,0.33,90,F
IN,Indiana,Midwest,2011,0.42,82,F
LA,Louisiana,South,2011,0.42,80,F
TX,Texas,South,2011,0.5,79,F
TX,Texas,South,2011,0.5,84,F
SC,South Carolina,South,2011,0.67,98,M
WI,Wisconsin,Midwest,2011,0.67,51,F
